timestamp,mode,dataset,steps,model_name,IoU,IoU@50,IoU@75,IoU@95,seg_loss,score_loss,total_loss
2025-04-29T11:58:17.713472,train,severstal,30,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:17.768836,train,severstal,31,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:17.822743,train,severstal,32,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:17.876422,train,severstal,33,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:17.931673,train,severstal,34,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:17.982444,train,severstal,35,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:18.046118,train,severstal,36,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:18.103586,train,severstal,37,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:18.153141,train,severstal,38,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:18.217117,train,severstal,39,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:18.284467,train,severstal,40,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:18.336472,train,severstal,41,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:18.386320,train,severstal,42,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:18.437342,train,severstal,43,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:18.494014,train,severstal,44,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:18.554433,train,severstal,45,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:18.651737,train,severstal,46,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:18.707608,train,severstal,47,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:18.766666,train,severstal,48,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:18.818514,train,severstal,49,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:18.878595,train,severstal,50,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:18.928984,train,severstal,51,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:18.987008,train,severstal,52,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:19.043431,train,severstal,53,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:19.096670,train,severstal,54,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:19.149314,train,severstal,55,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:19.204719,train,severstal,56,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:19.261121,train,severstal,57,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:19.323929,train,severstal,58,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:19.380027,train,severstal,59,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:19.439774,train,severstal,60,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:19.490042,train,severstal,61,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:19.542091,train,severstal,62,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:19.593413,train,severstal,63,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:19.646194,train,severstal,64,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:19.701692,train,severstal,65,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:19.759623,train,severstal,66,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:19.811948,train,severstal,67,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:19.870222,train,severstal,68,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
